message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=10.854731, y=11.115307])";"30";"turtlesim3.sim";"1760091223.373766045";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.836673, y=11.115307])";"30";"turtlesim3.sim";"1760091223.358248029";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.854731, y=11.115307])";"30";"turtlesim2.sim";"1760091223.357556956";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.818614, y=11.115307])";"30";"turtlesim3.sim";"1760091223.341584111";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.836673, y=11.115307])";"30";"turtlesim2.sim";"1760091223.341360533";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.800556, y=11.115307])";"30";"turtlesim3.sim";"1760091223.326202640";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.818614, y=11.115307])";"30";"turtlesim2.sim";"1760091223.325051406";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.782498, y=11.115307])";"30";"turtlesim3.sim";"1760091223.310115663";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.800556, y=11.115307])";"30";"turtlesim2.sim";"1760091223.309326502";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.672854, y=11.115307])";"30";"turtlesim1.sim";"1760091223.296709738";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.764439, y=11.115307])";"30";"turtlesim3.sim";"1760091223.293968320";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.782498, y=11.115307])";"30";"turtlesim2.sim";"1760091223.293235586";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.654795, y=11.115307])";"30";"turtlesim1.sim";"1760091223.281225995";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.746381, y=11.115307])";"30";"turtlesim3.sim";"1760091223.277896867";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.764439, y=11.115307])";"30";"turtlesim2.sim";"1760091223.276997618";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.636737, y=11.115307])";"30";"turtlesim1.sim";"1760091223.265214638";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.728323, y=11.115307])";"30";"turtlesim3.sim";"1760091223.261733816";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.746381, y=11.115307])";"30";"turtlesim2.sim";"1760091223.261052522";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.618679, y=11.115307])";"30";"turtlesim1.sim";"1760091223.249274195";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.710265, y=11.102925])";"30";"turtlesim3.sim";"1760091223.245907489";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.728323, y=11.115307])";"30";"turtlesim2.sim";"1760091223.245163503";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.600620, y=11.115307])";"30";"turtlesim1.sim";"1760091223.233075873";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=10.710265, y=11.102925])";"30";"turtlesim2.sim";"1760091223.228742544";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.582562, y=11.115307])";"30";"turtlesim1.sim";"1760091223.217724189";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.564504, y=11.115307])";"30";"turtlesim1.sim";"1760091223.201235200";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9.546446, y=11.115307])";"30";"turtlesim1.sim";"1760091223.184960049";"./src/turtle.cpp:update:260"
